id,cd,emd
2d7aff5577ae7af0d8ff6111270336a9,0.004294956,0.106952704
914c308ac4a9156842c20743f866e1a6,0.0063085067,0.12565571
67eac921334c130c336fa8434b94be14,0.00869544,0.11967552
4e3a0f69a63ee72426d1f3c517cdece5,0.008193765,0.15047386
88a476c48a4cb5e72d0c578824da8af5,0.011628687,0.12407724
64515d3ca4575eec7c8ce3bef5c2aa9,0.014850595,0.16871126
6e50f19c52a760e3cc1159c3b443c932,0.008516228,0.17142937
4f42be4dd95e5e0c76e9713f57a5fcb6,0.0093708215,0.1621246
2a1124c7deb11176af42602f1636bd9,0.010850163,0.15159892
6d0ef6312f8af87a53e946fb2184f0c4,0.008847113,0.08699249
a12a759155f4d0ed7eaa96064512efab,0.0109075,0.11786776
7988c8f23dc634678de5f815e8387cfc,0.007723802,0.09134244
1e9a36b3360f23388962005ce0e986db,0.0063056056,0.32296708
3d26aa294ad1cabcfcb8d8c6d4df8143,0.008417586,0.30399463
cec552e824883875490ad276cd2af3a4,0.013107339,0.23560083
0.08682223955790201,0.00920120719820261,0.16263096034526825
02691156,0.0064329677
02958343,0.011557682
03001627,0.009579071
04379243,0.009159472
03636649,0.009276844
02691156,0.117427975
02958343,0.14775412
03001627,0.16171764
04379243,0.09873423
03636649,0.28752086
